Name,Hex (24 bit),Red (8 bit),Green (8 bit),Blue (8 bit),Hue (degrees),HSL.S (%),"HSL.L (%), HSV.S (%), HSV.V (%)",Color Group
Carmine (M&P),#d70040,215,0,64,342.1,100.0,42.2,Merah Sedang
Carmine Pink,#eb4c42,235,76,66,3.6,80.9,59.0,Merah Sedang
Carmine Red,#ff0038,255,0,56,346.8,100.0,50.0,Merah Sedang
Carnation Pink,#ffa6c9,255,166,201,336.4,100.0,82.5,Magenta Terang
Carnelian,#b31b1b,179,27,27,0.0,73.8,40.4,Merah Gelap
Carolina Blue,#99badd,153,186,221,210.9,50.0,73.3,Cyan Muda
Carrot Orange,#ed9121,237,145,33,32.9,85.0,52.9,Merah Sedang
Catalina Blue,#062a78,6,42,120,221.1,90.5,24.7,Biru Gelap
Ceil,#92a1cf,146,161,207,225.2,38.9,69.2,Cyan Muda
Celadon,#ace1af,172,225,175,123.4,46.9,77.8,Cyan Muda
Celadon Blue,#007ba7,0,123,167,195.8,100.0,32.7,Cyan Sedang
Celadon Green,#2f847c,47,132,124,174.4,47.5,35.1,Cyan Sedang
Celeste (Colour),#b2ffff,178,255,255,180.0,100.0,84.9,Cyan Terang
Celestial Blue,#4997d0,73,151,208,205.3,59.0,55.1,Cyan Sedang
Cerise,#de3163,222,49,99,342.7,72.4,53.1,Merah Sedang
Cerise Pink,#ec3b83,236,59,131,335.6,82.3,57.8,Magenta Sedang
Cerulean,#007ba7,0,123,167,195.8,100.0,32.7,Cyan Sedang
Cerulean Blue,#2a52be,42,82,190,223.8,63.8,45.5,Biru Sedang
Cerulean Frost,#6d9bc3,109,155,195,207.9,41.7,59.6,Cyan Muda
Cg Blue,#007aa5,0,122,165,195.6,100.0,32.4,Cyan Sedang
Cg Red,#e03c31,224,60,49,3.8,73.8,53.5,Merah Sedang
Chamoisee,#a0785a,160,120,90,25.7,28.0,49.0,Oranye Sedang
Champagne,#fad6a5,250,214,165,34.6,89.5,81.4,Oranye Terang
Charcoal,#36454f,54,69,79,204.0,18.8,26.1,Biru Gelap
Charm Pink,#e68fac,230,143,172,340.0,63.5,73.1,Magenta Muda
Chartreuse (Traditional),#dfff00,223,255,0,67.5,100.0,50.0,Kuning Muda
Chartreuse (Web),#7fff00,127,255,0,90.1,100.0,50.0,Hijau Sedang
Cherry,#de3163,222,49,99,342.7,72.4,53.1,Merah Sedang
Cherry Blossom Pink,#ffb7c5,255,183,197,348.3,100.0,85.9,Magenta Terang
Chestnut,#cd5c5c,205,92,92,0.0,53.1,58.2,Merah Sedang
China Pink,#de6fa1,222,111,161,333.0,62.7,65.3,Magenta Muda
China Rose,#a8516e,168,81,110,340.0,34.9,48.8,Magenta Sedang
Chinese Red,#aa381e,170,56,30,11.1,70.0,39.2,Merah Sedang
Chocolate (Traditional),#7b3f00,123,63,0,30.7,100.0,24.1,Oranye Gelap
Chocolate (Web),#d2691e,210,105,30,25.0,75.0,47.1,Merah Sedang
