Name,Hex (24 bit),Red (8 bit),Green (8 bit),Blue (8 bit),Hue (degrees),HSL.S (%),"HSL.L (%), HSV.S (%), HSV.V (%)",Color Group
Indian Yellow,#e3a857,227,168,87,34.7,71.4,61.6,Oranye Muda
Indigo,#6f00ff,111,0,255,266.1,100.0,50.0,Ungu Sedang
Indigo (Dye),#00416a,0,65,106,203.2,100.0,20.8,Biru Gelap
Indigo (Web),#4b0082,75,0,130,274.6,100.0,25.5,Biru Gelap
International Klein Blue,#002fa7,0,47,167,223.1,100.0,32.7,Biru Gelap
International Orange (Aerospace),#ff4f00,255,79,0,18.6,100.0,50.0,Merah Sedang
International Orange (Engineering),#ba160c,186,22,12,3.4,87.9,38.8,Merah Gelap
International Orange (Golden Gate Bridge),#c0362c,192,54,44,4.1,62.7,46.3,Merah Sedang
Iris,#5a4fcf,90,79,207,245.2,57.1,56.1,Biru Sedang
Isabelline,#f4f0ec,244,240,236,30.0,26.7,94.1,Putih
Islamic Green,#009000,0,144,0,120.0,100.0,28.2,Hijau Gelap
Ivory,#fffff0,255,255,240,60.0,100.0,97.1,Putih
Jade,#00a86b,0,168,107,158.2,100.0,32.9,Cyan Sedang
Jasmine,#f8de7e,248,222,126,47.2,89.7,73.3,Oranye Muda
Jasper,#d73b3e,215,59,62,358.8,66.1,53.7,Merah Sedang
Jazzberry Jam,#a50b5e,165,11,94,327.7,87.5,34.5,Merah Sedang
Jet,#343434,52,52,52,0.0,0.0,20.4,Abu-Abu
Jonquil,#fada5e,250,218,94,47.7,94.0,67.5,Oranye Muda
June Bud,#bdda57,189,218,87,73.3,63.9,59.8,Kuning Muda
Jungle Green,#29ab87,41,171,135,163.4,61.3,41.6,Cyan Sedang
Kelly Green,#4cbb17,76,187,23,100.6,78.1,41.2,Hijau Sedang
Kenyan Copper,#7c1c05,124,28,5,11.6,92.2,25.3,Merah Gelap
Khaki (Html/Css) (Khaki),#c3b091,195,176,145,37.2,29.4,66.7,Oranye Muda
Khaki (X11) (Light Khaki),#f0e68c,240,230,140,54.0,76.9,74.5,Oranye Terang
Ku Crimson,#e8000d,232,0,13,356.6,100.0,45.5,Merah Sedang
La Salle Green,#087830,8,120,48,141.4,87.5,25.1,Hijau Gelap
Languid Lavender,#d6cadd,214,202,221,277.9,21.8,82.9,Abu-Abu
Lapis Lazuli,#26619c,38,97,156,210.0,60.8,38.0,Biru Sedang
Laser Lemon,#fefe22,254,254,34,60.0,99.1,56.5,Oranye Muda
Laurel Green,#a9ba9d,169,186,157,95.2,17.4,67.3,Kuning Muda
Lava,#cf1020,207,16,32,355.0,85.7,43.7,Merah Sedang
Lavender Blue,#ccf,204,204,255,240.0,100.0,90.0,Biru Terang
Lavender Blush,#fff0f5,255,240,245,340.0,100.0,97.1,Putih
Lavender (Floral),#b57edc,181,126,220,275.1,57.3,67.8,Ungu Muda
Lavender Gray,#c4c3d0,196,195,208,244.6,12.1,79.0,Abu-Abu
Lavender Indigo,#9457eb,148,87,235,264.7,78.7,63.1,Ungu Muda
Lavender Magenta,#ee82ee,238,130,238,300.0,76.1,72.2,Magenta Terang
Lavender Mist,#e6e6fa,230,230,250,240.0,66.7,94.1,Putih
Lavender Pink,#fbaed2,251,174,210,331.9,90.6,83.3,Magenta Terang
Lavender Purple,#967bb6,150,123,182,267.5,28.8,59.8,Ungu Muda
Lavender Rose,#fba0e3,251,160,227,315.8,91.9,80.6,Magenta Terang
Lavender (Web),#e6e6fa,230,230,250,240.0,66.7,94.1,Putih
Lawn Green,#7cfc00,124,252,0,90.5,100.0,49.4,Hijau Sedang
Lemon,#fff700,255,247,0,58.1,100.0,50.0,Oranye Muda
Lemon Chiffon,#fffacd,255,250,205,54.0,100.0,90.2,Oranye Terang
Lemon Lime,#e3ff00,227,255,0,66.6,100.0,50.0,Kuning Muda
Licorice,#1a1110,26,17,16,6.0,23.8,8.2,Hitam
Light Apricot,#fdd5b1,253,213,177,28.4,95.0,84.3,Oranye Terang
Light Blue,#add8e6,173,216,230,194.7,53.3,79.0,Cyan Terang
Light Brown,#b5651d,181,101,29,28.4,72.4,41.2,Merah Sedang
Light Carmine Pink,#e66771,230,103,113,355.3,71.8,65.3,Magenta Sedang
Light Coral,#f08080,240,128,128,0.0,78.9,72.2,Merah Muda
Light Cornflower Blue,#93ccea,147,204,234,200.7,67.4,74.7,Cyan Muda
Light Crimson,#f56991,245,105,145,342.9,87.5,68.6,Magenta Muda
Light Cyan,#e0ffff,224,255,255,180.0,100.0,93.9,Cyan Terang
Light Fuchsia Pink,#f984ef,249,132,239,305.1,90.7,74.7,Magenta Terang
Light Goldenrod Yellow,#fafad2,250,250,210,60.0,80.0,90.2,Oranye Terang
Light Gray,#d3d3d3,211,211,211,0.0,0.0,82.7,Abu-Abu
Light Green,#90ee90,144,238,144,120.0,73.4,74.9,Hijau Muda
Light Khaki,#f0e68c,240,230,140,54.0,76.9,74.5,Oranye Terang
Light Pastel Purple,#b19cd9,177,156,217,260.7,44.5,73.1,Ungu Muda
Light Pink,#ffb6c1,255,182,193,351.0,100.0,85.7,Magenta Terang
Light Red Ochre,#e97451,233,116,81,13.8,77.6,61.6,Merah Sedang
Light Salmon,#ffa07a,255,160,122,17.1,100.0,73.9,Merah Muda
Light Salmon Pink,#f99,255,153,153,0.0,100.0,80.0,Merah Muda
Light Sea Green,#20b2aa,32,178,170,176.7,69.5,41.2,Cyan Sedang
Light Sky Blue,#87cefa,135,206,250,203.0,92.0,75.5,Cyan Muda
Light Slate Gray,#789,119,136,153,210.0,14.3,53.3,Cyan Sedang
Light Taupe,#b38b6d,179,139,109,25.7,31.5,56.5,Oranye Sedang
Light Thulian Pink,#e68fac,230,143,172,340.0,63.5,73.1,Magenta Muda
Light Yellow,#ffffe0,255,255,224,60.0,100.0,93.9,Oranye Terang
Lilac,#c8a2c8,200,162,200,300.0,25.7,71.0,Magenta Muda
Lime (Color Wheel),#bfff00,191,255,0,75.1,100.0,50.0,Hijau Sedang
Lime Green,#32cd32,50,205,50,120.0,60.8,50.0,Hijau Sedang
Lime (Web) (X11 Green),#0f0,0,255,0,120.0,100.0,50.0,Hijau Sedang
Limerick,#9dc209,157,194,9,72.0,91.1,39.8,Kuning Sedang
Lincoln Green,#195905,25,89,5,105.7,89.4,18.4,Hitam
Linen,#faf0e6,250,240,230,30.0,66.7,94.1,Putih
Lion,#c19a6b,193,154,107,32.8,41.0,58.8,Oranye Muda
Little Boy Blue,#6ca0dc,108,160,220,212.1,61.5,64.3,Cyan Muda
Liver,#534b4f,83,75,79,330.0,5.1,31.0,Abu-Abu
Lust,#e62020,230,32,32,0.0,79.8,51.4,Merah Sedang
Magenta,#f0f,255,0,255,300.0,100.0,50.0,Magenta Muda
Magenta (Dye),#ca1f7b,202,31,123,327.7,73.4,45.7,Magenta Sedang
Magenta (Process),#ff0090,255,0,144,326.1,100.0,50.0,Magenta Sedang
Magic Mint,#aaf0d1,170,240,209,153.4,70.0,80.4,Cyan Terang
Magnolia,#f8f4ff,248,244,255,261.8,100.0,97.8,Putih
Mahogany,#c04000,192,64,0,20.0,100.0,37.6,Merah Sedang
Maize,#fbec5d,251,236,93,54.3,95.2,67.5,Oranye Muda
Majorelle Blue,#6050dc,96,80,220,246.9,66.7,58.8,Biru Sedang
Malachite,#0bda51,11,218,81,140.3,90.4,44.9,Cyan Sedang
Manatee,#979aaa,151,154,170,230.5,10.1,62.9,Abu-Abu
Mango Tango,#ff8243,255,130,67,20.1,100.0,63.1,Merah Muda
Mantis,#74c365,116,195,101,110.4,43.9,58.0,Hijau Sedang
Mardi Gras,#880085,136,0,133,301.3,100.0,26.7,Magenta Sedang
Maroon (Crayola),#c32148,195,33,72,345.6,71.1,44.7,Merah Sedang
Maroon (Html/Css),#800000,128,0,0,0.0,100.0,25.1,Merah Gelap
Maroon (X11),#b03060,176,48,96,337.5,57.1,43.9,Merah Sedang
Mauve,#e0b0ff,224,176,255,276.5,100.0,84.5,Ungu Terang
Mauve Taupe,#915f6d,145,95,109,343.2,20.8,47.1,Magenta Sedang
Mauvelous,#ef98aa,239,152,170,347.6,73.1,76.7,Magenta Muda
Maya Blue,#73c2fb,115,194,251,205.1,94.4,71.8,Cyan Muda
Meat Brown,#e5b73b,229,183,59,43.8,76.6,56.5,Oranye Muda
Medium Aquamarine,#6da,102,221,170,154.3,63.6,63.3,Cyan Muda
Medium Blue,#0000cd,0,0,205,240.0,100.0,40.2,Biru Gelap
Medium Candy Apple Red,#e2062c,226,6,44,349.6,94.8,45.5,Merah Sedang
Medium Carmine,#af4035,175,64,53,5.4,53.5,44.7,Merah Sedang
Medium Champagne,#f3e5ab,243,229,171,48.3,75.0,81.2,Oranye Terang
Medium Electric Blue,#035096,3,80,150,208.6,96.1,30.0,Biru Gelap
Medium Jungle Green,#1c352d,28,53,45,160.8,30.9,15.9,Hijau Gelap
Medium Lavender Magenta,#dda0dd,221,160,221,300.0,47.3,74.7,Magenta Terang
Medium Orchid,#ba55d3,186,85,211,288.1,58.9,58.0,Ungu Muda
Medium Persian Blue,#0067a5,0,103,165,202.5,100.0,32.4,Cyan Sedang
Medium Purple,#9370db,147,112,219,259.6,59.8,64.9,Ungu Muda
Medium Red-Violet,#bb3385,187,51,133,323.8,57.1,46.7,Magenta Sedang
Medium Ruby,#aa4069,170,64,105,336.8,45.3,45.9,Magenta Sedang
Medium Sea Green,#3cb371,60,179,113,146.7,49.8,46.9,Cyan Sedang
Medium Slate Blue,#7b68ee,123,104,238,248.5,79.8,67.1,Ungu Muda
Medium Spring Bud,#c9dc87,201,220,135,73.4,54.8,69.6,Kuning Muda
Medium Spring Green,#00fa9a,0,250,154,157.0,100.0,49.0,Cyan Sedang
Medium Taupe,#674c47,103,76,71,9.4,18.4,34.1,Oranye Sedang
Medium Turquoise,#48d1cc,72,209,204,177.8,59.8,55.1,Cyan Muda
Medium Tuscan Red,#79443b,121,68,59,8.7,34.4,35.3,Oranye Sedang
Medium Vermilion,#d9603b,217,96,59,14.1,67.5,54.1,Merah Sedang
Medium Violet-Red,#c71585,199,21,133,322.2,80.9,43.1,Magenta Sedang
Mellow Apricot,#f8b878,248,184,120,30.0,90.1,72.2,Oranye Muda
Mellow Yellow,#f8de7e,248,222,126,47.2,89.7,73.3,Oranye Muda
Melon,#fdbcb4,253,188,180,6.6,94.8,84.9,Oranye Terang
Midnight Blue,#191970,25,25,112,240.0,63.5,26.9,Biru Gelap
Midnight Green (Eagle Green),#004953,0,73,83,187.2,100.0,16.3,Biru Gelap
Mikado Yellow,#ffc40c,255,196,12,45.4,100.0,52.4,Oranye Muda
Mint,#3eb489,62,180,137,158.1,48.8,47.5,Cyan Sedang
Mint Cream,#f5fffa,245,255,250,150.0,100.0,98.0,Putih
Mint Green,#98ff98,152,255,152,120.0,100.0,79.8,Hijau Muda
Misty Rose,#ffe4e1,255,228,225,6.0,100.0,94.1,Oranye Terang
Moccasin,#faebd7,250,235,215,34.3,77.8,91.2,Oranye Terang
Mode Beige,#967117,150,113,23,42.5,73.4,33.9,Oranye Sedang
Moonstone Blue,#73a9c2,115,169,194,199.0,39.3,60.6,Cyan Muda
Mordant Red 19,#ae0c00,174,12,0,4.1,100.0,34.1,Merah Gelap
Moss Green,#addfad,173,223,173,120.0,43.9,77.6,Hijau Muda
Mountain Meadow,#30ba8f,48,186,143,161.3,59.0,45.9,Cyan Sedang
Mountbatten Pink,#997a8d,153,122,141,323.2,13.2,53.9,Magenta Sedang
Msu Green,#18453b,24,69,59,166.7,48.4,18.2,Hijau Gelap
Mulberry,#c54b8c,197,75,140,328.0,51.3,53.3,Magenta Sedang
Mustard,#ffdb58,255,219,88,47.1,100.0,67.3,Oranye Muda
Myrtle,#21421e,33,66,30,115.0,37.5,18.8,Kuning Gelap
Nadeshiko Pink,#f6adc6,246,173,198,339.5,80.2,82.2,Magenta Terang
Napier Green,#2a8000,42,128,0,100.3,100.0,25.1,Hijau Gelap
Naples Yellow,#fada5e,250,218,94,47.7,94.0,67.5,Oranye Muda
Navajo White,#ffdead,255,222,173,35.9,100.0,83.9,Oranye Terang
Navy Blue,#000080,0,0,128,240.0,100.0,25.1,Biru Gelap
Neon Carrot,#ffa343,255,163,67,30.6,100.0,63.1,Merah Muda
Neon Fuchsia,#fe4164,254,65,100,348.9,99.0,62.5,Merah Sedang
Neon Green,#39ff14,57,255,20,110.6,100.0,53.9,Hijau Sedang
New York Pink,#d7837f,215,131,127,2.7,52.4,67.1,Merah Muda
Non-Photo Blue,#a4dded,164,221,237,193.2,67.0,78.6,Cyan Terang
North Texas Green,#059033,5,144,51,139.9,93.3,29.2,Hijau Gelap
Ocean Boat Blue,#0077be,0,119,190,202.4,100.0,37.3,Cyan Sedang
Ochre,#c72,204,119,34,30.0,71.4,46.7,Merah Sedang
Office Green,#008000,0,128,0,120.0,100.0,25.1,Hijau Gelap
Old Gold,#cfb53b,207,181,59,49.5,60.7,52.2,Oranye Sedang
Old Lace,#fdf5e6,253,245,230,39.1,85.2,94.7,Putih
Old Lavender,#796878,121,104,120,303.5,7.6,44.1,Abu-Abu
Old Mauve,#673147,103,49,71,335.6,35.5,29.8,Merah Gelap
Old Rose,#c08081,192,128,129,359.1,33.7,62.7,Magenta Sedang
Olive,#808000,128,128,0,60.0,100.0,25.1,Oranye Sedang
Olive Drab #7,#3c341f,60,52,31,43.4,31.9,17.8,Oranye Gelap
Olive Drab (Web) (Olive Drab #3),#6b8e23,107,142,35,79.6,60.5,34.7,Kuning Sedang
Olivine,#9ab973,154,185,115,86.6,33.3,58.8,Kuning Muda
Onyx,#353839,53,56,57,195.0,3.6,21.6,Abu-Abu
Opera Mauve,#b784a7,183,132,167,318.8,26.2,61.8,Magenta Muda
Orange (Color Wheel),#ff7f00,255,127,0,29.9,100.0,50.0,Merah Sedang
Orange Peel,#ff9f00,255,159,0,37.4,100.0,50.0,Merah Sedang
Orange-Red,#ff4500,255,69,0,16.2,100.0,50.0,Merah Sedang
Orange (Ryb),#fb9902,251,153,2,36.4,98.4,49.6,Merah Sedang
Orange (Web Color),#ffa500,255,165,0,38.8,100.0,50.0,Merah Sedang
Orchid,#da70d6,218,112,214,302.3,58.9,64.7,Magenta Muda
Otter Brown,#654321,101,67,33,30.0,50.7,26.3,Oranye Gelap
Ou Crimson Red,#900,153,0,0,0.0,100.0,30.0,Merah Gelap
Outer Space,#414a4c,65,74,76,190.9,7.8,27.6,Abu-Abu
Outrageous Orange,#ff6e4a,255,110,74,11.9,100.0,64.5,Merah Sedang
Oxford Blue,#002147,0,33,71,212.1,100.0,13.9,Hitam
Pakistan Green,#060,0,102,0,120.0,100.0,20.0,Hitam
Palatinate Blue,#273be2,39,59,226,233.6,76.3,52.0,Biru Sedang
Palatinate Purple,#682860,104,40,96,307.5,44.4,28.2,Merah Sedang
Pale Aqua,#bcd4e6,188,212,230,205.7,45.7,82.0,Cyan Terang
Pale Blue,#afeeee,175,238,238,180.0,64.9,81.0,Cyan Terang
Pale Brown,#987654,152,118,84,30.0,28.8,46.3,Oranye Sedang
Pale Carmine,#af4035,175,64,53,5.4,53.5,44.7,Merah Sedang
Pale Cerulean,#9bc4e2,155,196,226,205.4,55.0,74.7,Cyan Muda
Pale Chestnut,#ddadaf,221,173,175,357.5,41.4,77.3,Magenta Muda
Pale Copper,#da8a67,218,138,103,18.3,60.8,62.9,Merah Muda
Pale Cornflower Blue,#abcdef,171,205,239,210.0,68.0,80.4,Cyan Terang
Pale Gold,#e6be8a,230,190,138,33.9,64.8,72.2,Oranye Muda
Pale Goldenrod,#eee8aa,238,232,170,54.7,66.7,80.0,Oranye Terang
Pale Green,#98fb98,152,251,152,120.0,92.5,79.0,Hijau Muda
Pale Lavender,#dcd0ff,220,208,255,255.3,100.0,90.8,Ungu Terang
Pale Magenta,#f984e5,249,132,229,310.3,90.7,74.7,Magenta Terang
Pale Pink,#fadadd,250,218,221,354.4,76.2,91.8,Magenta Terang
Pale Plum,#dda0dd,221,160,221,300.0,47.3,74.7,Magenta Terang
Pale Red-Violet,#db7093,219,112,147,340.4,59.8,64.9,Magenta Muda
Pale Robin Egg Blue,#96ded1,150,222,209,169.2,52.2,72.9,Cyan Muda
Pale Silver,#c9c0bb,201,192,187,21.4,11.5,76.1,Abu-Abu
Pale Spring Bud,#ecebbd,236,235,189,58.7,55.3,83.3,Oranye Terang
Pale Taupe,#bc987e,188,152,126,25.2,31.6,61.6,Oranye Muda
Pale Violet-Red,#db7093,219,112,147,340.4,59.8,64.9,Magenta Muda
Pansy Purple,#78184a,120,24,74,328.8,66.7,28.2,Merah Gelap
Papaya Whip,#ffefd5,255,239,213,37.1,100.0,91.8,Oranye Terang
Paris Green,#50c878,80,200,120,140.0,52.2,54.9,Cyan Sedang
Pastel Blue,#aec6cf,174,198,207,196.4,25.6,74.7,Cyan Muda
Pastel Brown,#836953,131,105,83,27.5,22.4,42.0,Oranye Sedang
Pastel Gray,#cfcfc4,207,207,196,60.0,10.3,79.0,Abu-Abu
Pastel Green,#7d7,119,221,119,120.0,60.0,66.7,Hijau Muda
Pastel Magenta,#f49ac2,244,154,194,333.3,80.4,78.0,Magenta Muda
Pastel Orange,#ffb347,255,179,71,35.2,100.0,63.9,Merah Muda
Pastel Pink,#dea5a4,222,165,164,1.0,46.8,75.7,Oranye Muda
Pastel Purple,#b39eb5,179,158,181,294.8,13.5,66.5,Ungu Muda
Pastel Red,#ff6961,255,105,97,3.0,100.0,69.0,Merah Muda
Pastel Violet,#cb99c9,203,153,201,302.4,32.5,69.8,Magenta Muda
Pastel Yellow,#fdfd96,253,253,150,60.0,96.3,79.0,Oranye Terang
Patriarch,#800080,128,0,128,300.0,100.0,25.1,Magenta Sedang
Payne'S Grey,#536878,83,104,120,205.9,18.2,39.8,Cyan Sedang
Peach,#ffe5b4,255,229,180,39.2,100.0,85.3,Oranye Terang
Peach (Crayola),#ffcba4,255,203,164,25.7,100.0,82.2,Oranye Terang
Peach-Orange,#fc9,255,204,153,30.0,100.0,80.0,Oranye Terang
Peach Puff,#ffdab9,255,218,185,28.3,100.0,86.3,Oranye Terang
Peach-Yellow,#fadfad,250,223,173,39.0,88.5,82.9,Oranye Terang
Pear,#d1e231,209,226,49,65.8,75.3,53.9,Kuning Muda
Pearl,#eae0c8,234,224,200,42.4,44.7,85.1,Oranye Terang
Pearl Aqua,#88d8c0,136,216,192,162.0,50.6,69.0,Cyan Muda
Pearly Purple,#b768a2,183,104,162,315.9,35.4,56.3,Magenta Sedang
Peridot,#e6e200,230,226,0,59.0,100.0,45.1,Oranye Muda
Periwinkle,#ccf,204,204,255,240.0,100.0,90.0,Biru Terang
Persian Blue,#1c39bb,28,57,187,229.1,74.0,42.2,Biru Sedang
Persian Green,#00a693,0,166,147,173.1,100.0,32.5,Cyan Sedang
Persian Indigo,#32127a,50,18,122,258.5,74.3,27.5,Biru Gelap
Persian Orange,#d99058,217,144,88,26.0,62.9,59.8,Merah Sedang
Persian Pink,#f77fbe,247,127,190,328.5,88.2,73.3,Magenta Muda
Persian Plum,#701c1c,112,28,28,0.0,60.0,27.5,Merah Gelap
Persian Red,#c33,204,51,51,0.0,60.0,50.0,Merah Sedang
Persian Rose,#fe28a2,254,40,162,325.8,99.1,57.6,Magenta Muda
Persimmon,#ec5800,236,88,0,22.4,100.0,46.3,Merah Sedang
Peru,#cd853f,205,133,63,29.6,58.7,52.5,Merah Sedang
Phlox,#df00ff,223,0,255,292.5,100.0,50.0,Ungu Muda
Phthalo Blue,#000f89,0,15,137,233.4,100.0,26.9,Biru Gelap
Phthalo Green,#123524,18,53,36,150.9,49.3,13.9,Hitam
Piggy Pink,#fddde6,253,221,230,343.1,88.9,92.9,Magenta Terang
Pine Green,#01796f,1,121,111,175.0,98.4,23.9,Cyan Gelap
Pink,#ffc0cb,255,192,203,349.5,100.0,87.6,Magenta Terang
Pink Lace,#ffddf4,255,221,244,319.4,100.0,93.3,Magenta Terang
Pink-Orange,#f96,255,153,102,20.0,100.0,70.0,Merah Muda
Pink Pearl,#e7accf,231,172,207,324.4,55.1,79.0,Magenta Terang
Pink Sherbet,#f78fa7,247,143,167,346.2,86.7,76.5,Magenta Muda
Pistachio,#93c572,147,197,114,96.1,41.7,61.0,Kuning Muda
Platinum,#e5e4e2,229,228,226,40.0,5.5,89.2,Abu-Abu
Plum (Traditional),#8e4585,142,69,133,307.4,34.6,41.4,Magenta Sedang
Plum (Web),#dda0dd,221,160,221,300.0,47.3,74.7,Magenta Terang
Portland Orange,#ff5a36,255,90,54,10.7,100.0,60.6,Merah Sedang
Powder Blue (Web),#b0e0e6,176,224,230,186.7,51.9,79.6,Cyan Terang
Princeton Orange,#ff8f00,255,143,0,33.6,100.0,50.0,Merah Sedang
Prune,#701c1c,112,28,28,0.0,60.0,27.5,Merah Gelap
Prussian Blue,#003153,0,49,83,204.6,100.0,16.3,Biru Gelap
Psychedelic Purple,#df00ff,223,0,255,292.5,100.0,50.0,Ungu Muda
Puce,#c89,204,136,153,345.0,40.0,66.7,Magenta Muda
Pumpkin,#ff7518,255,117,24,24.2,100.0,54.7,Merah Sedang
Purple Heart,#69359c,105,53,156,270.3,49.3,41.0,Ungu Sedang
Purple (Html/Css),#800080,128,0,128,300.0,100.0,25.1,Magenta Sedang
Purple Mountain Majesty,#9678b6,150,120,182,269.0,29.8,59.2,Ungu Muda
Purple (Munsell),#9f00c5,159,0,197,288.4,100.0,38.6,Ungu Sedang
Purple Pizzazz,#fe4eda,254,78,218,312.3,98.9,65.1,Magenta Muda
Purple Taupe,#50404d,80,64,77,311.2,11.1,28.2,Abu-Abu
Purple (X11),#a020f0,160,32,240,276.9,87.4,53.3,Ungu Sedang
Quartz,#51484f,81,72,79,313.3,5.9,30.0,Abu-Abu
Rackley,#5d8aa8,93,138,168,204.0,30.1,51.2,Cyan Sedang
Radical Red,#ff355e,255,53,94,347.8,100.0,60.4,Merah Sedang
Rajah,#fbab60,251,171,96,29.0,95.1,68.0,Merah Muda
Raspberry,#e30b5d,227,11,93,337.2,90.8,46.7,Merah Sedang
Raspberry Glace,#915f6d,145,95,109,343.2,20.8,47.1,Magenta Sedang
Raspberry Pink,#e25098,226,80,152,330.4,71.6,60.0,Magenta Muda
Raspberry Rose,#b3446c,179,68,108,338.4,44.9,48.4,Magenta Sedang
Raw Umber,#826644,130,102,68,32.9,31.3,38.8,Oranye Sedang
Razzle Dazzle Rose,#f3c,255,51,204,315.0,100.0,60.0,Magenta Muda
Razzmatazz,#e3256b,227,37,107,337.9,77.2,51.8,Magenta Sedang
Red,#f00,255,0,0,0.0,100.0,50.0,Merah Sedang
Red-Brown,#a52a2a,165,42,42,0.0,59.4,40.6,Merah Sedang
Red Devil,#860111,134,1,17,352.8,98.5,26.5,Merah Gelap
Red (Munsell),#f2003c,242,0,60,345.1,100.0,47.5,Merah Sedang
Red (Ncs),#c40233,196,2,51,344.8,98.0,38.8,Merah Sedang
Red-Orange,#ff5349,255,83,73,3.3,100.0,64.3,Merah Sedang
Red (Pigment),#ed1c24,237,28,36,357.7,85.3,52.0,Merah Sedang
Red (Ryb),#fe2712,254,39,18,5.3,99.2,53.3,Merah Sedang
Red-Violet,#c71585,199,21,133,322.2,80.9,43.1,Magenta Sedang
Redwood,#ab4e52,171,78,82,357.4,37.3,48.8,Merah Sedang
Regalia,#522d80,82,45,128,266.7,48.0,33.9,Biru Sedang
Resolution Blue,#002387,0,35,135,224.4,100.0,26.5,Biru Gelap
Rich Black,#004040,0,64,64,180.0,100.0,12.5,Hijau Gelap
Rich Brilliant Lavender,#f1a7fe,241,167,254,291.0,97.8,82.5,Ungu Terang
Rich Carmine,#d70040,215,0,64,342.1,100.0,42.2,Merah Sedang
Rich Electric Blue,#0892d0,8,146,208,198.6,92.6,42.4,Cyan Sedang
Rich Lavender,#a76bcf,167,107,207,276.0,51.0,61.6,Ungu Muda
Rich Lilac,#b666d2,182,102,210,284.4,54.5,61.2,Ungu Muda
Rich Maroon,#b03060,176,48,96,337.5,57.1,43.9,Merah Sedang
Rifle Green,#414833,65,72,51,80.0,17.1,24.1,Kuning Gelap
Robin Egg Blue,#0cc,0,204,204,180.0,100.0,40.0,Cyan Sedang
Rose,#ff007f,255,0,127,330.1,100.0,50.0,Magenta Sedang
Rose Bonbon,#f9429e,249,66,158,329.8,93.8,61.8,Magenta Muda
Rose Ebony,#674846,103,72,70,3.6,19.1,33.9,Oranye Sedang
Rose Gold,#b76e79,183,110,121,351.0,33.6,57.5,Magenta Sedang
Rose Madder,#e32636,227,38,54,354.9,77.1,52.0,Merah Sedang
Rose Pink,#f6c,255,102,204,320.0,100.0,70.0,Magenta Muda
Rose Quartz,#aa98a9,170,152,169,303.3,9.6,63.1,Abu-Abu
Rose Taupe,#905d5d,144,93,93,0.0,21.5,46.5,Merah Sedang
Rose Vale,#ab4e52,171,78,82,357.4,37.3,48.8,Merah Sedang
Rosewood,#65000b,101,0,11,353.5,100.0,19.8,Hitam
Rosso Corsa,#d40000,212,0,0,0.0,100.0,41.6,Merah Gelap
Rosy Brown,#bc8f8f,188,143,143,0.0,25.1,64.9,Merah Muda
Royal Azure,#0038a8,0,56,168,220.0,100.0,32.9,Biru Gelap
Royal Blue (Traditional),#002366,0,35,102,219.4,100.0,20.0,Biru Gelap
Royal Blue (Web),#4169e1,65,105,225,225.0,72.7,56.9,Cyan Sedang
Royal Fuchsia,#ca2c92,202,44,146,321.3,64.2,48.2,Magenta Sedang
Royal Purple,#7851a9,120,81,169,266.6,35.2,49.0,Ungu Sedang
Royal Yellow,#fada5e,250,218,94,47.7,94.0,67.5,Oranye Muda
Rubine Red,#d10056,209,0,86,335.3,100.0,41.0,Merah Sedang
Ruby,#e0115f,224,17,95,337.4,85.9,47.3,Merah Sedang
Ruby Red,#9b111e,155,17,30,354.3,80.2,33.7,Merah Gelap
Ruddy,#ff0028,255,0,40,350.6,100.0,50.0,Merah Sedang
Ruddy Brown,#bb6528,187,101,40,24.9,64.8,44.5,Merah Sedang
Ruddy Pink,#e18e96,225,142,150,354.2,58.0,72.0,Magenta Muda
Rufous,#a81c07,168,28,7,7.8,92.0,34.3,Merah Gelap
Russet,#80461b,128,70,27,25.5,65.2,30.4,Oranye Gelap
Rust,#b7410e,183,65,14,18.1,85.8,38.6,Merah Sedang
Rusty Red,#da2c43,218,44,67,352.1,70.2,51.4,Merah Sedang
Sacramento State Green,#00563f,0,86,63,164.0,100.0,16.9,Hijau Gelap
Saddle Brown,#8b4513,139,69,19,25.0,75.9,31.0,Merah Gelap
Safety Orange (Blaze Orange),#ff6700,255,103,0,24.2,100.0,50.0,Merah Sedang
Saffron,#f4c430,244,196,48,45.3,89.9,57.3,Oranye Muda
Salmon,#ff8c69,255,140,105,14.0,100.0,70.6,Merah Muda
Salmon Pink,#ff91a4,255,145,164,349.6,100.0,78.4,Magenta Muda
Sand,#c2b280,194,178,128,45.5,35.1,63.1,Oranye Muda
Sand Dune,#967117,150,113,23,42.5,73.4,33.9,Oranye Sedang
Sandstorm,#ecd540,236,213,64,52.0,81.9,58.8,Oranye Muda
Sandy Brown,#f4a460,244,164,96,27.6,87.1,66.7,Merah Muda
Sandy Taupe,#967117,150,113,23,42.5,73.4,33.9,Oranye Sedang
Sangria,#92000a,146,0,10,355.9,100.0,28.6,Merah Gelap
Sap Green,#507d2a,80,125,42,92.5,49.7,32.7,Kuning Sedang
Sapphire,#0f52ba,15,82,186,216.5,85.1,39.4,Biru Sedang
Sapphire Blue,#0067a5,0,103,165,202.5,100.0,32.4,Cyan Sedang
Satin Sheen Gold,#cba135,203,161,53,43.2,59.1,50.2,Oranye Sedang
Scarlet,#ff2400,255,36,0,8.5,100.0,50.0,Merah Sedang
Scarlet (Crayola),#fd0e35,253,14,53,350.2,98.4,52.4,Merah Sedang
